{31C68071-FDE2-FEE3-E063-4804A8C04F37},336000,13/02/2025 00:00,BN20 9SX,S,N,F,16,,GORRINGE VALLEY ROAD,,EASTBOURNE,WEALDEN,EAST SUSSEX,A,A
{31C68071-FDE4-FEE3-E063-4804A8C04F37},660000,21/03/2025 00:00,BN2 1AP,F,N,L,25A,,BRISTOL ROAD,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDE6-FEE3-E063-4804A8C04F37},200000,03/03/2025 00:00,BN27 1EF,D,N,L,2,,CONQUEST DRIVE,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FDE7-FEE3-E063-4804A8C04F37},165000,21/02/2025 00:00,BN21 1BU,F,N,L,16,FLAT 6,SOUTHFIELDS ROAD,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FDE8-FEE3-E063-4804A8C04F37},675000,07/03/2025 00:00,BN27 3TD,D,N,F,CHURCH COTTAGE,,CHURCH FARM LANE,CHALVINGTON,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FDE9-FEE3-E063-4804A8C04F37},350000,28/02/2025 00:00,BN1 2FQ,F,N,L,4E,,SUSSEX HEIGHTS,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDEB-FEE3-E063-4804A8C04F37},320000,31/01/2025 00:00,BN24 5FA,S,N,F,16,,MILLERS KEEP,STONE CROSS,PEVENSEY,WEALDEN,EAST SUSSEX,A,A
{31C68071-FDED-FEE3-E063-4804A8C04F37},425000,07/03/2025 00:00,BN3 3DG,F,N,L,46A,,HOVA VILLAS,,HOVE,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDF3-FEE3-E063-4804A8C04F37},390000,17/01/2025 00:00,BN3 1QA,F,N,L,6,FLAT 2,GOLDSMID ROAD,,HOVE,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDF4-FEE3-E063-4804A8C04F37},290250,09/01/2025 00:00,BN1 4NT,F,N,L,31,FIRST FLOOR FLAT,WARLEIGH ROAD,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDF8-FEE3-E063-4804A8C04F37},480000,28/02/2025 00:00,BN3 3ED,T,N,F,12A,,CAMBRIDGE GROVE,,HOVE,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDF9-FEE3-E063-4804A8C04F37},510000,27/03/2025 00:00,BN3 3RB,F,N,L,26,FLAT 1,CLARENDON VILLAS,,HOVE,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDFA-FEE3-E063-4804A8C04F37},485000,20/02/2025 00:00,BN2 1GS,F,N,L,25,FLAT 30,DORSET GARDENS,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDFC-FEE3-E063-4804A8C04F37},320000,12/03/2025 00:00,BN25 3NT,T,N,F,41,,HINDOVER ROAD,,SEAFORD,LEWES,EAST SUSSEX,A,A
{31C68071-FDFD-FEE3-E063-4804A8C04F37},504000,17/03/2025 00:00,BN2 5XY,F,N,L,MERTON COURT,FLAT 34,THE STRAND,BRIGHTON MARINA VILLAGE,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FDFE-FEE3-E063-4804A8C04F37},340000,14/03/2025 00:00,BN27 4BN,S,N,F,19,,BUCKLE GARDENS,HELLINGLY,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FDFF-FEE3-E063-4804A8C04F37},350000,04/03/2025 00:00,BN27 4DE,T,N,F,36,,HOUGHTON WAY,HELLINGLY,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE01-FEE3-E063-4804A8C04F37},720000,07/03/2025 00:00,BN8 5EZ,D,N,F,3,,THE ELMS,RINGMER,LEWES,LEWES,EAST SUSSEX,A,A
{31C68071-FE07-FEE3-E063-4804A8C04F37},425000,07/03/2025 00:00,BN23 6FE,T,N,F,7,,SOVEREIGN CLOSE,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE08-FEE3-E063-4804A8C04F37},235000,03/01/2025 00:00,BN21 4SD,F,N,L,"MARTELLO COURT, 3 - 15",FLAT 19,JEVINGTON GARDENS,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE09-FEE3-E063-4804A8C04F37},275000,17/02/2025 00:00,BN1 3GY,F,N,L,BLANCHE HOUSE,FLAT 7,DYKE ROAD,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE0B-FEE3-E063-4804A8C04F37},142500,17/02/2025 00:00,BN22 7NU,F,N,L,295,FLAT 1,SEASIDE,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE0C-FEE3-E063-4804A8C04F37},280000,10/03/2025 00:00,BN27 3GJ,S,N,F,8,,TELFORD LANE,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE0D-FEE3-E063-4804A8C04F37},240000,03/03/2025 00:00,BN2 3FQ,F,N,L,59,GROUND FLOOR FLAT,ROUNDHILL CRESCENT,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE11-FEE3-E063-4804A8C04F37},182500,28/02/2025 00:00,BN2 1FB,F,N,L,17,FLAT 5,CHESHAM PLACE,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE13-FEE3-E063-4804A8C04F37},340000,14/02/2025 00:00,BN2 1AU,F,N,L,Dec-13,FLAT 6,BURLINGTON STREET,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE15-FEE3-E063-4804A8C04F37},400000,06/03/2025 00:00,BN1 3LT,F,N,L,31,FLAT 2,BUCKINGHAM STREET,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE18-FEE3-E063-4804A8C04F37},380000,07/02/2025 00:00,BN27 3FY,S,N,F,48,,BRUNEL DRIVE,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE1A-FEE3-E063-4804A8C04F37},705000,14/03/2025 00:00,BN1 5BQ,S,N,F,12,,GATTON PARK LANE,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE1C-FEE3-E063-4804A8C04F37},507000,21/03/2025 00:00,BN3 1ND,F,N,L,45,GROUND FLOOR FLAT,BRUNSWICK PLACE,,HOVE,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE1E-FEE3-E063-4804A8C04F37},410000,28/02/2025 00:00,BN1 4HD,F,N,L,"EMBANKMENT HOUSE, 7",FLAT 42,FLEET STREET,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE1F-FEE3-E063-4804A8C04F37},125000,10/03/2025 00:00,BN2 3FF,F,N,L,77A,,UPPER LEWES ROAD,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE21-FEE3-E063-4804A8C04F37},215000,21/02/2025 00:00,BN25 1RY,F,N,L,"FLAT 2, 14A",,SUTTON CROFT LANE,,SEAFORD,LEWES,EAST SUSSEX,A,A
{31C68071-FE22-FEE3-E063-4804A8C04F37},393000,18/02/2025 00:00,BN9 9NL,S,N,F,23,,ROSE WALK CLOSE,,NEWHAVEN,LEWES,EAST SUSSEX,A,A
{31C68071-FE25-FEE3-E063-4804A8C04F37},197000,12/03/2025 00:00,BN21 2BH,F,N,F,107,,WEAVERS CLOSE,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE2A-FEE3-E063-4804A8C04F37},295000,21/02/2025 00:00,BN2 0GJ,F,N,L,71,GROUND FLOOR FLAT,QUEENS PARK ROAD,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE2B-FEE3-E063-4804A8C04F37},342500,14/02/2025 00:00,BN20 7HE,F,N,L,"ANGUS HOUSE, 13",FLAT 2,GRANVILLE ROAD,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE2D-FEE3-E063-4804A8C04F37},235000,13/03/2025 00:00,BN21 1LS,F,N,L,SELMESTON HOUSE,FLAT 10,UPPERTON ROAD,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE30-FEE3-E063-4804A8C04F37},536500,13/02/2025 00:00,BN7 2HY,S,N,F,9,,PRINCE CHARLES ROAD,,LEWES,LEWES,EAST SUSSEX,A,A
{31C68071-FE32-FEE3-E063-4804A8C04F37},600000,07/02/2025 00:00,BN2 5YW,T,N,F,THE LEES,24,BRISTOL GARDENS,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE35-FEE3-E063-4804A8C04F37},310000,06/03/2025 00:00,BN27 3YR,S,N,F,4,,COACH BARN LANE,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE37-FEE3-E063-4804A8C04F37},410000,11/02/2025 00:00,BN24 5FW,D,N,F,6,,RED CLOVER CLOSE,STONE CROSS,PEVENSEY,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE38-FEE3-E063-4804A8C04F37},220000,28/02/2025 00:00,BN21 2BH,F,N,F,50,,WEAVERS CLOSE,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE39-FEE3-E063-4804A8C04F37},366000,03/02/2025 00:00,BN41 2HF,S,N,F,5,,NORTH LANE,PORTSLADE,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE3A-FEE3-E063-4804A8C04F37},175000,20/02/2025 00:00,BN1 2PN,F,N,L,15,FLAT 7,BEDFORD SQUARE,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE3C-FEE3-E063-4804A8C04F37},300000,07/02/2025 00:00,BN41 1SD,F,N,L,"FLAT 5, 87",,ABINGER ROAD,PORTSLADE,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE3E-FEE3-E063-4804A8C04F37},359950,14/02/2025 00:00,BN27 1FQ,D,N,F,4,,WILLIAM MEWS,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE40-FEE3-E063-4804A8C04F37},185000,05/03/2025 00:00,BN21 4JA,F,N,L,"BIRLEY HOUSE, 13",FLAT 6,COLLEGE ROAD,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE41-FEE3-E063-4804A8C04F37},346000,19/02/2025 00:00,BN2 1EL,F,N,L,8,FLAT 1,BELGRAVE PLACE,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE42-FEE3-E063-4804A8C04F37},335000,25/02/2025 00:00,BN27 1FY,S,N,F,1,,BLACKBIRD DRIVE,HELLINGLY,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE45-FEE3-E063-4804A8C04F37},165000,28/02/2025 00:00,BN21 4NY,F,N,L,2,FLAT 3,HARDWICK ROAD,,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{31C68071-FE46-FEE3-E063-4804A8C04F37},322500,11/03/2025 00:00,BN27 3EE,T,N,F,OASIS,,WESTERN ROAD,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE48-FEE3-E063-4804A8C04F37},425000,17/02/2025 00:00,BN3 3JP,F,N,L,30A,,WILBURY ROAD,,HOVE,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE49-FEE3-E063-4804A8C04F37},421000,21/03/2025 00:00,BN2 3FJ,F,N,L,25,TOP FLAT,UPPER LEWES ROAD,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE4B-FEE3-E063-4804A8C04F37},300000,14/02/2025 00:00,BN27 3YN,S,N,F,6,,ORCHARD LANE,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE4E-FEE3-E063-4804A8C04F37},300000,28/02/2025 00:00,BN3 3JE,F,N,L,"HARLEY COURT, 49",FLAT 7,THE DRIVE,,HOVE,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE54-FEE3-E063-4804A8C04F37},400000,07/03/2025 00:00,BN10 7LF,D,N,F,37,,CAREY DOWN,TELSCOMBE CLIFFS,PEACEHAVEN,LEWES,EAST SUSSEX,A,A
{31C68071-FE56-FEE3-E063-4804A8C04F37},405000,07/03/2025 00:00,BN2 3EG,F,N,L,63,LOWER FLAT,RYDE ROAD,,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{31C68071-FE59-FEE3-E063-4804A8C04F37},392500,21/03/2025 00:00,BN24 5GN,D,N,F,1,,PRIMROSE FIELD,STONE CROSS,PEVENSEY,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE5A-FEE3-E063-4804A8C04F37},510000,03/03/2025 00:00,BN27 3LG,S,N,F,17,,ERSHAM ROAD,,HAILSHAM,WEALDEN,EAST SUSSEX,A,A
{31C68071-FE5C-FEE3-E063-4804A8C04F37},215000,03/03/2025 00:00,BN10 7PE,F,N,L,"NEVILLE LODGE, 15",FLAT 18,ROWE AVENUE,,PEACEHAVEN,LEWES,EAST SUSSEX,A,A
