Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01016862,Brighton and Hove 031B,5,Household is deprived in four dimensions,2
E01016863,Brighton and Hove 032A,-8,Does not apply,0
E01016863,Brighton and Hove 032A,1,Household is not deprived in any dimension,292
E01016863,Brighton and Hove 032A,2,Household is deprived in one dimension,315
E01016863,Brighton and Hove 032A,3,Household is deprived in two dimensions,183
E01016863,Brighton and Hove 032A,4,Household is deprived in three dimensions,90
E01016863,Brighton and Hove 032A,5,Household is deprived in four dimensions,9
E01016864,Brighton and Hove 025A,-8,Does not apply,0
E01016864,Brighton and Hove 025A,1,Household is not deprived in any dimension,181
E01016864,Brighton and Hove 025A,2,Household is deprived in one dimension,203
E01016864,Brighton and Hove 025A,3,Household is deprived in two dimensions,143
E01016864,Brighton and Hove 025A,4,Household is deprived in three dimensions,41
E01016864,Brighton and Hove 025A,5,Household is deprived in four dimensions,2
E01016865,Brighton and Hove 025B,-8,Does not apply,0
E01016865,Brighton and Hove 025B,1,Household is not deprived in any dimension,136
E01016865,Brighton and Hove 025B,2,Household is deprived in one dimension,179
E01016865,Brighton and Hove 025B,3,Household is deprived in two dimensions,172
E01016865,Brighton and Hove 025B,4,Household is deprived in three dimensions,77
E01016865,Brighton and Hove 025B,5,Household is deprived in four dimensions,4
E01016866,Brighton and Hove 025C,-8,Does not apply,0
E01016866,Brighton and Hove 025C,1,Household is not deprived in any dimension,136
E01016866,Brighton and Hove 025C,2,Household is deprived in one dimension,169
E01016866,Brighton and Hove 025C,3,Household is deprived in two dimensions,161
E01016866,Brighton and Hove 025C,4,Household is deprived in three dimensions,89
E01016866,Brighton and Hove 025C,5,Household is deprived in four dimensions,9
E01016867,Brighton and Hove 025D,-8,Does not apply,0
E01016867,Brighton and Hove 025D,1,Household is not deprived in any dimension,216
E01016867,Brighton and Hove 025D,2,Household is deprived in one dimension,215
E01016867,Brighton and Hove 025D,3,Household is deprived in two dimensions,139
E01016867,Brighton and Hove 025D,4,Household is deprived in three dimensions,67
E01016867,Brighton and Hove 025D,5,Household is deprived in four dimensions,5
E01016868,Brighton and Hove 025E,-8,Does not apply,0
E01016868,Brighton and Hove 025E,1,Household is not deprived in any dimension,157
E01016868,Brighton and Hove 025E,2,Household is deprived in one dimension,252
E01016868,Brighton and Hove 025E,3,Household is deprived in two dimensions,209
E01016868,Brighton and Hove 025E,4,Household is deprived in three dimensions,108
E01016868,Brighton and Hove 025E,5,Household is deprived in four dimensions,11
E01016869,Brighton and Hove 032B,-8,Does not apply,0
E01016869,Brighton and Hove 032B,1,Household is not deprived in any dimension,394
E01016869,Brighton and Hove 032B,2,Household is deprived in one dimension,284
E01016869,Brighton and Hove 032B,3,Household is deprived in two dimensions,135
E01016869,Brighton and Hove 032B,4,Household is deprived in three dimensions,44
E01016869,Brighton and Hove 032B,5,Household is deprived in four dimensions,7
E01016870,Brighton and Hove 020A,-8,Does not apply,0
E01016870,Brighton and Hove 020A,1,Household is not deprived in any dimension,407
E01016870,Brighton and Hove 020A,2,Household is deprived in one dimension,199
E01016870,Brighton and Hove 020A,3,Household is deprived in two dimensions,77
E01016870,Brighton and Hove 020A,4,Household is deprived in three dimensions,8
E01016870,Brighton and Hove 020A,5,Household is deprived in four dimensions,1
E01016871,Brighton and Hove 019B,-8,Does not apply,0
E01016871,Brighton and Hove 019B,1,Household is not deprived in any dimension,451
E01016871,Brighton and Hove 019B,2,Household is deprived in one dimension,337
E01016871,Brighton and Hove 019B,3,Household is deprived in two dimensions,144
E01016871,Brighton and Hove 019B,4,Household is deprived in three dimensions,47
E01016871,Brighton and Hove 019B,5,Household is deprived in four dimensions,4
E01016872,Brighton and Hove 019C,-8,Does not apply,0
E01016872,Brighton and Hove 019C,1,Household is not deprived in any dimension,502
E01016872,Brighton and Hove 019C,2,Household is deprived in one dimension,258
E01016872,Brighton and Hove 019C,3,Household is deprived in two dimensions,112
E01016872,Brighton and Hove 019C,4,Household is deprived in three dimensions,29
E01016872,Brighton and Hove 019C,5,Household is deprived in four dimensions,1
E01016873,Brighton and Hove 019D,-8,Does not apply,0
E01016873,Brighton and Hove 019D,1,Household is not deprived in any dimension,426
E01016873,Brighton and Hove 019D,2,Household is deprived in one dimension,317
E01016873,Brighton and Hove 019D,3,Household is deprived in two dimensions,166
E01016873,Brighton and Hove 019D,4,Household is deprived in three dimensions,59
E01016873,Brighton and Hove 019D,5,Household is deprived in four dimensions,7
E01016874,Brighton and Hove 020B,-8,Does not apply,0
E01016874,Brighton and Hove 020B,1,Household is not deprived in any dimension,500
E01016874,Brighton and Hove 020B,2,Household is deprived in one dimension,363
E01016874,Brighton and Hove 020B,3,Household is deprived in two dimensions,137
E01016874,Brighton and Hove 020B,4,Household is deprived in three dimensions,26
E01016874,Brighton and Hove 020B,5,Household is deprived in four dimensions,6
E01016875,Brighton and Hove 020C,-8,Does not apply,0
E01016875,Brighton and Hove 020C,1,Household is not deprived in any dimension,375
E01016875,Brighton and Hove 020C,2,Household is deprived in one dimension,188
E01016875,Brighton and Hove 020C,3,Household is deprived in two dimensions,50
E01016875,Brighton and Hove 020C,4,Household is deprived in three dimensions,6
E01016875,Brighton and Hove 020C,5,Household is deprived in four dimensions,1
E01016876,Brighton and Hove 020D,-8,Does not apply,0
E01016876,Brighton and Hove 020D,1,Household is not deprived in any dimension,490
E01016876,Brighton and Hove 020D,2,Household is deprived in one dimension,262
E01016876,Brighton and Hove 020D,3,Household is deprived in two dimensions,92
E01016876,Brighton and Hove 020D,4,Household is deprived in three dimensions,16
E01016876,Brighton and Hove 020D,5,Household is deprived in four dimensions,2
E01016877,Brighton and Hove 020E,-8,Does not apply,0
E01016877,Brighton and Hove 020E,1,Household is not deprived in any dimension,486
E01016877,Brighton and Hove 020E,2,Household is deprived in one dimension,292
E01016877,Brighton and Hove 020E,3,Household is deprived in two dimensions,107
E01016877,Brighton and Hove 020E,4,Household is deprived in three dimensions,42
E01016877,Brighton and Hove 020E,5,Household is deprived in four dimensions,2
E01016878,Brighton and Hove 019E,-8,Does not apply,0
E01016878,Brighton and Hove 019E,1,Household is not deprived in any dimension,485
E01016878,Brighton and Hove 019E,2,Household is deprived in one dimension,260
E01016878,Brighton and Hove 019E,3,Household is deprived in two dimensions,101
E01016878,Brighton and Hove 019E,4,Household is deprived in three dimensions,27
E01016878,Brighton and Hove 019E,5,Household is deprived in four dimensions,3
E01016879,Brighton and Hove 013A,-8,Does not apply,0
E01016879,Brighton and Hove 013A,1,Household is not deprived in any dimension,267
E01016879,Brighton and Hove 013A,2,Household is deprived in one dimension,188
