Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01016918,Brighton and Hove 005C,3,Household is deprived in two dimensions,138
E01016918,Brighton and Hove 005C,4,Household is deprived in three dimensions,58
E01016918,Brighton and Hove 005C,5,Household is deprived in four dimensions,3
E01016919,Brighton and Hove 005D,-8,Does not apply,0
E01016919,Brighton and Hove 005D,1,Household is not deprived in any dimension,230
E01016919,Brighton and Hove 005D,2,Household is deprived in one dimension,188
E01016919,Brighton and Hove 005D,3,Household is deprived in two dimensions,94
E01016919,Brighton and Hove 005D,4,Household is deprived in three dimensions,31
E01016919,Brighton and Hove 005D,5,Household is deprived in four dimensions,0
E01016920,Brighton and Hove 005E,-8,Does not apply,0
E01016920,Brighton and Hove 005E,1,Household is not deprived in any dimension,341
E01016920,Brighton and Hove 005E,2,Household is deprived in one dimension,199
E01016920,Brighton and Hove 005E,3,Household is deprived in two dimensions,76
E01016920,Brighton and Hove 005E,4,Household is deprived in three dimensions,12
E01016920,Brighton and Hove 005E,5,Household is deprived in four dimensions,0
E01016921,Brighton and Hove 012A,-8,Does not apply,0
E01016921,Brighton and Hove 012A,1,Household is not deprived in any dimension,288
E01016921,Brighton and Hove 012A,2,Household is deprived in one dimension,218
E01016921,Brighton and Hove 012A,3,Household is deprived in two dimensions,111
E01016921,Brighton and Hove 012A,4,Household is deprived in three dimensions,42
E01016921,Brighton and Hove 012A,5,Household is deprived in four dimensions,4
E01016922,Brighton and Hove 012B,-8,Does not apply,0
E01016922,Brighton and Hove 012B,1,Household is not deprived in any dimension,222
E01016922,Brighton and Hove 012B,2,Household is deprived in one dimension,175
E01016922,Brighton and Hove 012B,3,Household is deprived in two dimensions,97
E01016922,Brighton and Hove 012B,4,Household is deprived in three dimensions,25
E01016922,Brighton and Hove 012B,5,Household is deprived in four dimensions,0
E01016923,Brighton and Hove 003A,-8,Does not apply,0
E01016923,Brighton and Hove 003A,1,Household is not deprived in any dimension,337
E01016923,Brighton and Hove 003A,2,Household is deprived in one dimension,214
E01016923,Brighton and Hove 003A,3,Household is deprived in two dimensions,102
E01016923,Brighton and Hove 003A,4,Household is deprived in three dimensions,12
E01016923,Brighton and Hove 003A,5,Household is deprived in four dimensions,0
E01016924,Brighton and Hove 001A,-8,Does not apply,0
E01016924,Brighton and Hove 001A,1,Household is not deprived in any dimension,317
E01016924,Brighton and Hove 001A,2,Household is deprived in one dimension,194
E01016924,Brighton and Hove 001A,3,Household is deprived in two dimensions,52
E01016924,Brighton and Hove 001A,4,Household is deprived in three dimensions,10
E01016924,Brighton and Hove 001A,5,Household is deprived in four dimensions,0
E01016925,Brighton and Hove 004A,-8,Does not apply,0
E01016925,Brighton and Hove 004A,1,Household is not deprived in any dimension,266
E01016925,Brighton and Hove 004A,2,Household is deprived in one dimension,211
E01016925,Brighton and Hove 004A,3,Household is deprived in two dimensions,94
E01016925,Brighton and Hove 004A,4,Household is deprived in three dimensions,26
E01016925,Brighton and Hove 004A,5,Household is deprived in four dimensions,2
E01016926,Brighton and Hove 001B,-8,Does not apply,0
E01016926,Brighton and Hove 001B,1,Household is not deprived in any dimension,238
E01016926,Brighton and Hove 001B,2,Household is deprived in one dimension,215
E01016926,Brighton and Hove 001B,3,Household is deprived in two dimensions,111
E01016926,Brighton and Hove 001B,4,Household is deprived in three dimensions,36
E01016926,Brighton and Hove 001B,5,Household is deprived in four dimensions,4
E01016927,Brighton and Hove 001C,-8,Does not apply,0
E01016927,Brighton and Hove 001C,1,Household is not deprived in any dimension,307
E01016927,Brighton and Hove 001C,2,Household is deprived in one dimension,203
E01016927,Brighton and Hove 001C,3,Household is deprived in two dimensions,87
E01016927,Brighton and Hove 001C,4,Household is deprived in three dimensions,20
E01016927,Brighton and Hove 001C,5,Household is deprived in four dimensions,1
E01016928,Brighton and Hove 003B,-8,Does not apply,0
E01016928,Brighton and Hove 003B,1,Household is not deprived in any dimension,379
E01016928,Brighton and Hove 003B,2,Household is deprived in one dimension,211
E01016928,Brighton and Hove 003B,3,Household is deprived in two dimensions,65
E01016928,Brighton and Hove 003B,4,Household is deprived in three dimensions,16
E01016928,Brighton and Hove 003B,5,Household is deprived in four dimensions,2
E01016929,Brighton and Hove 001D,-8,Does not apply,0
E01016929,Brighton and Hove 001D,1,Household is not deprived in any dimension,328
E01016929,Brighton and Hove 001D,2,Household is deprived in one dimension,194
E01016929,Brighton and Hove 001D,3,Household is deprived in two dimensions,88
E01016929,Brighton and Hove 001D,4,Household is deprived in three dimensions,16
E01016929,Brighton and Hove 001D,5,Household is deprived in four dimensions,0
E01016930,Brighton and Hove 004B,-8,Does not apply,0
E01016930,Brighton and Hove 004B,1,Household is not deprived in any dimension,399
E01016930,Brighton and Hove 004B,2,Household is deprived in one dimension,270
E01016930,Brighton and Hove 004B,3,Household is deprived in two dimensions,80
E01016930,Brighton and Hove 004B,4,Household is deprived in three dimensions,6
E01016930,Brighton and Hove 004B,5,Household is deprived in four dimensions,0
E01016931,Brighton and Hove 001E,-8,Does not apply,0
E01016931,Brighton and Hove 001E,1,Household is not deprived in any dimension,336
E01016931,Brighton and Hove 001E,2,Household is deprived in one dimension,201
E01016931,Brighton and Hove 001E,3,Household is deprived in two dimensions,82
E01016931,Brighton and Hove 001E,4,Household is deprived in three dimensions,14
E01016931,Brighton and Hove 001E,5,Household is deprived in four dimensions,0
E01016932,Brighton and Hove 014A,-8,Does not apply,0
E01016932,Brighton and Hove 014A,1,Household is not deprived in any dimension,405
E01016932,Brighton and Hove 014A,2,Household is deprived in one dimension,198
E01016932,Brighton and Hove 014A,3,Household is deprived in two dimensions,75
E01016932,Brighton and Hove 014A,4,Household is deprived in three dimensions,13
E01016932,Brighton and Hove 014A,5,Household is deprived in four dimensions,3
E01016933,Brighton and Hove 014B,-8,Does not apply,0
E01016933,Brighton and Hove 014B,1,Household is not deprived in any dimension,354
E01016933,Brighton and Hove 014B,2,Household is deprived in one dimension,170
E01016933,Brighton and Hove 014B,3,Household is deprived in two dimensions,71
E01016933,Brighton and Hove 014B,4,Household is deprived in three dimensions,19
E01016933,Brighton and Hove 014B,5,Household is deprived in four dimensions,7
E01016934,Brighton and Hove 010C,-8,Does not apply,0
E01016934,Brighton and Hove 010C,1,Household is not deprived in any dimension,343
E01016934,Brighton and Hove 010C,2,Household is deprived in one dimension,129
E01016934,Brighton and Hove 010C,3,Household is deprived in two dimensions,30
E01016934,Brighton and Hove 010C,4,Household is deprived in three dimensions,5
E01016934,Brighton and Hove 010C,5,Household is deprived in four dimensions,1
E01016935,Brighton and Hove 014C,-8,Does not apply,0
E01016935,Brighton and Hove 014C,1,Household is not deprived in any dimension,413
E01016935,Brighton and Hove 014C,2,Household is deprived in one dimension,258
E01016935,Brighton and Hove 014C,3,Household is deprived in two dimensions,106
E01016935,Brighton and Hove 014C,4,Household is deprived in three dimensions,23
E01016935,Brighton and Hove 014C,5,Household is deprived in four dimensions,1
E01016936,Brighton and Hove 014D,-8,Does not apply,0
E01016936,Brighton and Hove 014D,1,Household is not deprived in any dimension,462
E01016936,Brighton and Hove 014D,2,Household is deprived in one dimension,224
E01016936,Brighton and Hove 014D,3,Household is deprived in two dimensions,62
E01016936,Brighton and Hove 014D,4,Household is deprived in three dimensions,12
E01016936,Brighton and Hove 014D,5,Household is deprived in four dimensions,0
E01016937,Brighton and Hove 014E,-8,Does not apply,0
E01016937,Brighton and Hove 014E,1,Household is not deprived in any dimension,501
E01016937,Brighton and Hove 014E,2,Household is deprived in one dimension,360
E01016937,Brighton and Hove 014E,3,Household is deprived in two dimensions,123
E01016937,Brighton and Hove 014E,4,Household is deprived in three dimensions,39
E01016937,Brighton and Hove 014E,5,Household is deprived in four dimensions,1
E01016938,Brighton and Hove 024A,-8,Does not apply,0
E01016938,Brighton and Hove 024A,1,Household is not deprived in any dimension,490
E01016938,Brighton and Hove 024A,2,Household is deprived in one dimension,313
E01016938,Brighton and Hove 024A,3,Household is deprived in two dimensions,101
E01016938,Brighton and Hove 024A,4,Household is deprived in three dimensions,17
E01016938,Brighton and Hove 024A,5,Household is deprived in four dimensions,4
E01016939,Brighton and Hove 010D,-8,Does not apply,0
E01016939,Brighton and Hove 010D,1,Household is not deprived in any dimension,386
E01016939,Brighton and Hove 010D,2,Household is deprived in one dimension,156
E01016939,Brighton and Hove 010D,3,Household is deprived in two dimensions,38
E01016939,Brighton and Hove 010D,4,Household is deprived in three dimensions,8
E01016939,Brighton and Hove 010D,5,Household is deprived in four dimensions,0
E01016940,Brighton and Hove 010E,-8,Does not apply,0
E01016940,Brighton and Hove 010E,1,Household is not deprived in any dimension,385
E01016940,Brighton and Hove 010E,2,Household is deprived in one dimension,155
E01016940,Brighton and Hove 010E,3,Household is deprived in two dimensions,47
E01016940,Brighton and Hove 010E,4,Household is deprived in three dimensions,11
E01016940,Brighton and Hove 010E,5,Household is deprived in four dimensions,0
E01016941,Brighton and Hove 030A,-8,Does not apply,0
E01016941,Brighton and Hove 030A,1,Household is not deprived in any dimension,392
E01016941,Brighton and Hove 030A,2,Household is deprived in one dimension,387
E01016941,Brighton and Hove 030A,3,Household is deprived in two dimensions,214
E01016941,Brighton and Hove 030A,4,Household is deprived in three dimensions,96
E01016941,Brighton and Hove 030A,5,Household is deprived in four dimensions,14
E01016942,Brighton and Hove 031C,-8,Does not apply,0
E01016942,Brighton and Hove 031C,1,Household is not deprived in any dimension,189
E01016942,Brighton and Hove 031C,2,Household is deprived in one dimension,353
E01016942,Brighton and Hove 031C,3,Household is deprived in two dimensions,336
E01016942,Brighton and Hove 031C,4,Household is deprived in three dimensions,141
E01016942,Brighton and Hove 031C,5,Household is deprived in four dimensions,19
E01016943,Brighton and Hove 031D,-8,Does not apply,0
E01016943,Brighton and Hove 031D,1,Household is not deprived in any dimension,370
E01016943,Brighton and Hove 031D,2,Household is deprived in one dimension,208
E01016943,Brighton and Hove 031D,3,Household is deprived in two dimensions,81
E01016943,Brighton and Hove 031D,4,Household is deprived in three dimensions,15
E01016943,Brighton and Hove 031D,5,Household is deprived in four dimensions,0
E01016944,Brighton and Hove 031E,-8,Does not apply,0
E01016944,Brighton and Hove 031E,1,Household is not deprived in any dimension,436
E01016944,Brighton and Hove 031E,2,Household is deprived in one dimension,323
E01016944,Brighton and Hove 031E,3,Household is deprived in two dimensions,91
E01016944,Brighton and Hove 031E,4,Household is deprived in three dimensions,38
E01016944,Brighton and Hove 031E,5,Household is deprived in four dimensions,2
E01016945,Brighton and Hove 030B,-8,Does not apply,0
E01016945,Brighton and Hove 030B,1,Household is not deprived in any dimension,396
E01016945,Brighton and Hove 030B,2,Household is deprived in one dimension,357
E01016945,Brighton and Hove 030B,3,Household is deprived in two dimensions,129
E01016945,Brighton and Hove 030B,4,Household is deprived in three dimensions,47
E01016945,Brighton and Hove 030B,5,Household is deprived in four dimensions,5
E01016946,Brighton and Hove 018E,-8,Does not apply,0
E01016946,Brighton and Hove 018E,1,Household is not deprived in any dimension,315
E01016946,Brighton and Hove 018E,2,Household is deprived in one dimension,206
E01016946,Brighton and Hove 018E,3,Household is deprived in two dimensions,82
E01016946,Brighton and Hove 018E,4,Household is deprived in three dimensions,11
E01016946,Brighton and Hove 018E,5,Household is deprived in four dimensions,2
E01016947,Brighton and Hove 030C,-8,Does not apply,0
E01016947,Brighton and Hove 030C,1,Household is not deprived in any dimension,295
E01016947,Brighton and Hove 030C,2,Household is deprived in one dimension,326
E01016947,Brighton and Hove 030C,3,Household is deprived in two dimensions,244
E01016947,Brighton and Hove 030C,4,Household is deprived in three dimensions,100
E01016947,Brighton and Hove 030C,5,Household is deprived in four dimensions,12
E01016948,Brighton and Hove 030D,-8,Does not apply,0
E01016948,Brighton and Hove 030D,1,Household is not deprived in any dimension,355
E01016948,Brighton and Hove 030D,2,Household is deprived in one dimension,247
E01016948,Brighton and Hove 030D,3,Household is deprived in two dimensions,118
E01016948,Brighton and Hove 030D,4,Household is deprived in three dimensions,44
E01016948,Brighton and Hove 030D,5,Household is deprived in four dimensions,2
E01016949,Brighton and Hove 030E,-8,Does not apply,0
E01016949,Brighton and Hove 030E,1,Household is not deprived in any dimension,330
E01016949,Brighton and Hove 030E,2,Household is deprived in one dimension,282
E01016949,Brighton and Hove 030E,3,Household is deprived in two dimensions,184
E01016949,Brighton and Hove 030E,4,Household is deprived in three dimensions,102
E01016949,Brighton and Hove 030E,5,Household is deprived in four dimensions,12
E01016950,Brighton and Hove 024B,-8,Does not apply,0
E01016950,Brighton and Hove 024B,1,Household is not deprived in any dimension,509
E01016950,Brighton and Hove 024B,2,Household is deprived in one dimension,347
E01016950,Brighton and Hove 024B,3,Household is deprived in two dimensions,131
E01016950,Brighton and Hove 024B,4,Household is deprived in three dimensions,31
E01016950,Brighton and Hove 024B,5,Household is deprived in four dimensions,5
E01016951,Brighton and Hove 024C,-8,Does not apply,0
E01016951,Brighton and Hove 024C,1,Household is not deprived in any dimension,374
E01016951,Brighton and Hove 024C,2,Household is deprived in one dimension,336
E01016951,Brighton and Hove 024C,3,Household is deprived in two dimensions,132
E01016951,Brighton and Hove 024C,4,Household is deprived in three dimensions,56
E01016951,Brighton and Hove 024C,5,Household is deprived in four dimensions,3
E01016952,Brighton and Hove 027A,-8,Does not apply,0
E01016952,Brighton and Hove 027A,1,Household is not deprived in any dimension,394
E01016952,Brighton and Hove 027A,2,Household is deprived in one dimension,343
E01016952,Brighton and Hove 027A,3,Household is deprived in two dimensions,116
E01016952,Brighton and Hove 027A,4,Household is deprived in three dimensions,47
E01016952,Brighton and Hove 027A,5,Household is deprived in four dimensions,4
E01016953,Brighton and Hove 027B,-8,Does not apply,0
E01016953,Brighton and Hove 027B,1,Household is not deprived in any dimension,436
E01016953,Brighton and Hove 027B,2,Household is deprived in one dimension,251
E01016953,Brighton and Hove 027B,3,Household is deprived in two dimensions,89
E01016953,Brighton and Hove 027B,4,Household is deprived in three dimensions,21
E01016953,Brighton and Hove 027B,5,Household is deprived in four dimensions,1
E01016954,Brighton and Hove 029D,-8,Does not apply,0
E01016954,Brighton and Hove 029D,1,Household is not deprived in any dimension,399
E01016954,Brighton and Hove 029D,2,Household is deprived in one dimension,355
E01016954,Brighton and Hove 029D,3,Household is deprived in two dimensions,149
E01016954,Brighton and Hove 029D,4,Household is deprived in three dimensions,61
E01016954,Brighton and Hove 029D,5,Household is deprived in four dimensions,6
E01016955,Brighton and Hove 029E,-8,Does not apply,0
E01016955,Brighton and Hove 029E,1,Household is not deprived in any dimension,428
E01016955,Brighton and Hove 029E,2,Household is deprived in one dimension,332
E01016955,Brighton and Hove 029E,3,Household is deprived in two dimensions,132
E01016955,Brighton and Hove 029E,4,Household is deprived in three dimensions,35
E01016955,Brighton and Hove 029E,5,Household is deprived in four dimensions,10
E01016956,Brighton and Hove 033A,-8,Does not apply,0
E01016956,Brighton and Hove 033A,1,Household is not deprived in any dimension,373
E01016956,Brighton and Hove 033A,2,Household is deprived in one dimension,263
E01016956,Brighton and Hove 033A,3,Household is deprived in two dimensions,65
E01016956,Brighton and Hove 033A,4,Household is deprived in three dimensions,14
E01016956,Brighton and Hove 033A,5,Household is deprived in four dimensions,1
E01016957,Brighton and Hove 032C,-8,Does not apply,0
E01016957,Brighton and Hove 032C,1,Household is not deprived in any dimension,621
E01016957,Brighton and Hove 032C,2,Household is deprived in one dimension,330
E01016957,Brighton and Hove 032C,3,Household is deprived in two dimensions,97
E01016957,Brighton and Hove 032C,4,Household is deprived in three dimensions,17
E01016957,Brighton and Hove 032C,5,Household is deprived in four dimensions,1
E01016958,Brighton and Hove 033B,-8,Does not apply,0
E01016958,Brighton and Hove 033B,1,Household is not deprived in any dimension,421
E01016958,Brighton and Hove 033B,2,Household is deprived in one dimension,289
E01016958,Brighton and Hove 033B,3,Household is deprived in two dimensions,110
E01016958,Brighton and Hove 033B,4,Household is deprived in three dimensions,17
E01016958,Brighton and Hove 033B,5,Household is deprived in four dimensions,4
E01016959,Brighton and Hove 033C,-8,Does not apply,0
E01016959,Brighton and Hove 033C,1,Household is not deprived in any dimension,361
E01016959,Brighton and Hove 033C,2,Household is deprived in one dimension,227
E01016959,Brighton and Hove 033C,3,Household is deprived in two dimensions,56
E01016959,Brighton and Hove 033C,4,Household is deprived in three dimensions,9
E01016959,Brighton and Hove 033C,5,Household is deprived in four dimensions,0
E01016960,Brighton and Hove 033D,-8,Does not apply,0
E01016960,Brighton and Hove 033D,1,Household is not deprived in any dimension,444
E01016960,Brighton and Hove 033D,2,Household is deprived in one dimension,274
E01016960,Brighton and Hove 033D,3,Household is deprived in two dimensions,76
E01016960,Brighton and Hove 033D,4,Household is deprived in three dimensions,17
E01016960,Brighton and Hove 033D,5,Household is deprived in four dimensions,4
E01016961,Brighton and Hove 033E,-8,Does not apply,0
E01016961,Brighton and Hove 033E,1,Household is not deprived in any dimension,475
E01016961,Brighton and Hove 033E,2,Household is deprived in one dimension,301
E01016961,Brighton and Hove 033E,3,Household is deprived in two dimensions,97
E01016961,Brighton and Hove 033E,4,Household is deprived in three dimensions,20
E01016961,Brighton and Hove 033E,5,Household is deprived in four dimensions,1
E01016962,Brighton and Hove 033F,-8,Does not apply,0
E01016962,Brighton and Hove 033F,1,Household is not deprived in any dimension,393
E01016962,Brighton and Hove 033F,2,Household is deprived in one dimension,268
E01016962,Brighton and Hove 033F,3,Household is deprived in two dimensions,65
E01016962,Brighton and Hove 033F,4,Household is deprived in three dimensions,9
E01016962,Brighton and Hove 033F,5,Household is deprived in four dimensions,0
E01016963,Brighton and Hove 032D,-8,Does not apply,0
E01016963,Brighton and Hove 032D,1,Household is not deprived in any dimension,549
E01016963,Brighton and Hove 032D,2,Household is deprived in one dimension,332
E01016963,Brighton and Hove 032D,3,Household is deprived in two dimensions,94
E01016963,Brighton and Hove 032D,4,Household is deprived in three dimensions,28
E01016963,Brighton and Hove 032D,5,Household is deprived in four dimensions,1
E01016964,Brighton and Hove 027C,-8,Does not apply,0
E01016964,Brighton and Hove 027C,1,Household is not deprived in any dimension,463
E01016964,Brighton and Hove 027C,2,Household is deprived in one dimension,400
E01016964,Brighton and Hove 027C,3,Household is deprived in two dimensions,227
E01016964,Brighton and Hove 027C,4,Household is deprived in three dimensions,93
E01016964,Brighton and Hove 027C,5,Household is deprived in four dimensions,16
E01016966,Brighton and Hove 015B,-8,Does not apply,0
E01016966,Brighton and Hove 015B,1,Household is not deprived in any dimension,338
E01016966,Brighton and Hove 015B,2,Household is deprived in one dimension,223
E01016966,Brighton and Hove 015B,3,Household is deprived in two dimensions,145
E01016966,Brighton and Hove 015B,4,Household is deprived in three dimensions,39
E01016966,Brighton and Hove 015B,5,Household is deprived in four dimensions,7
E01016967,Brighton and Hove 024D,-8,Does not apply,0
E01016967,Brighton and Hove 024D,1,Household is not deprived in any dimension,496
E01016967,Brighton and Hove 024D,2,Household is deprived in one dimension,359
E01016967,Brighton and Hove 024D,3,Household is deprived in two dimensions,133
E01016967,Brighton and Hove 024D,4,Household is deprived in three dimensions,35
E01016967,Brighton and Hove 024D,5,Household is deprived in four dimensions,13
E01016968,Brighton and Hove 024E,-8,Does not apply,0
E01016968,Brighton and Hove 024E,1,Household is not deprived in any dimension,414
E01016968,Brighton and Hove 024E,2,Household is deprived in one dimension,255
E01016968,Brighton and Hove 024E,3,Household is deprived in two dimensions,125
E01016968,Brighton and Hove 024E,4,Household is deprived in three dimensions,44
E01016968,Brighton and Hove 024E,5,Household is deprived in four dimensions,4
E01016969,Brighton and Hove 027E,-8,Does not apply,0
E01016969,Brighton and Hove 027E,1,Household is not deprived in any dimension,489
E01016969,Brighton and Hove 027E,2,Household is deprived in one dimension,292
E01016969,Brighton and Hove 027E,3,Household is deprived in two dimensions,139
E01016969,Brighton and Hove 027E,4,Household is deprived in three dimensions,43
E01016969,Brighton and Hove 027E,5,Household is deprived in four dimensions,5
E01016970,Brighton and Hove 015C,-8,Does not apply,0
E01016970,Brighton and Hove 015C,1,Household is not deprived in any dimension,384
E01016970,Brighton and Hove 015C,2,Household is deprived in one dimension,219
E01016970,Brighton and Hove 015C,3,Household is deprived in two dimensions,85
E01016970,Brighton and Hove 015C,4,Household is deprived in three dimensions,24
E01016970,Brighton and Hove 015C,5,Household is deprived in four dimensions,3
E01016971,Brighton and Hove 015D,-8,Does not apply,0
E01016971,Brighton and Hove 015D,1,Household is not deprived in any dimension,313
E01016971,Brighton and Hove 015D,2,Household is deprived in one dimension,255
E01016971,Brighton and Hove 015D,3,Household is deprived in two dimensions,140
E01016971,Brighton and Hove 015D,4,Household is deprived in three dimensions,22
E01016971,Brighton and Hove 015D,5,Household is deprived in four dimensions,5
E01016972,Brighton and Hove 015E,-8,Does not apply,0
E01016972,Brighton and Hove 015E,1,Household is not deprived in any dimension,445
E01016972,Brighton and Hove 015E,2,Household is deprived in one dimension,228
E01016972,Brighton and Hove 015E,3,Household is deprived in two dimensions,94
E01016972,Brighton and Hove 015E,4,Household is deprived in three dimensions,24
E01016972,Brighton and Hove 015E,5,Household is deprived in four dimensions,2
E01016973,Brighton and Hove 012C,-8,Does not apply,0
E01016973,Brighton and Hove 012C,1,Household is not deprived in any dimension,289
E01016973,Brighton and Hove 012C,2,Household is deprived in one dimension,235
E01016973,Brighton and Hove 012C,3,Household is deprived in two dimensions,91
E01016973,Brighton and Hove 012C,4,Household is deprived in three dimensions,26
E01016973,Brighton and Hove 012C,5,Household is deprived in four dimensions,2
E01016974,Brighton and Hove 021A,-8,Does not apply,0
E01016974,Brighton and Hove 021A,1,Household is not deprived in any dimension,414
E01016974,Brighton and Hove 021A,2,Household is deprived in one dimension,237
E01016974,Brighton and Hove 021A,3,Household is deprived in two dimensions,102
E01016974,Brighton and Hove 021A,4,Household is deprived in three dimensions,26
E01016974,Brighton and Hove 021A,5,Household is deprived in four dimensions,3
E01016975,Brighton and Hove 021B,-8,Does not apply,0
E01016975,Brighton and Hove 021B,1,Household is not deprived in any dimension,261
E01016975,Brighton and Hove 021B,2,Household is deprived in one dimension,209
E01016975,Brighton and Hove 021B,3,Household is deprived in two dimensions,113
E01016975,Brighton and Hove 021B,4,Household is deprived in three dimensions,45
E01016975,Brighton and Hove 021B,5,Household is deprived in four dimensions,0
E01016976,Brighton and Hove 013F,-8,Does not apply,0
E01016976,Brighton and Hove 013F,1,Household is not deprived in any dimension,329
E01016976,Brighton and Hove 013F,2,Household is deprived in one dimension,196
E01016976,Brighton and Hove 013F,3,Household is deprived in two dimensions,69
E01016976,Brighton and Hove 013F,4,Household is deprived in three dimensions,9
E01016976,Brighton and Hove 013F,5,Household is deprived in four dimensions,0
E01016977,Brighton and Hove 012D,-8,Does not apply,0
E01016977,Brighton and Hove 012D,1,Household is not deprived in any dimension,287
E01016977,Brighton and Hove 012D,2,Household is deprived in one dimension,214
E01016977,Brighton and Hove 012D,3,Household is deprived in two dimensions,89
E01016977,Brighton and Hove 012D,4,Household is deprived in three dimensions,33
E01016977,Brighton and Hove 012D,5,Household is deprived in four dimensions,1
E01016978,Brighton and Hove 012E,-8,Does not apply,0
E01016978,Brighton and Hove 012E,1,Household is not deprived in any dimension,315
E01016978,Brighton and Hove 012E,2,Household is deprived in one dimension,240
E01016978,Brighton and Hove 012E,3,Household is deprived in two dimensions,140
E01016978,Brighton and Hove 012E,4,Household is deprived in three dimensions,60
E01016978,Brighton and Hove 012E,5,Household is deprived in four dimensions,28
E01016979,Brighton and Hove 016A,-8,Does not apply,0
E01016979,Brighton and Hove 016A,1,Household is not deprived in any dimension,426
E01016979,Brighton and Hove 016A,2,Household is deprived in one dimension,183
E01016979,Brighton and Hove 016A,3,Household is deprived in two dimensions,65
E01016979,Brighton and Hove 016A,4,Household is deprived in three dimensions,8
E01016979,Brighton and Hove 016A,5,Household is deprived in four dimensions,1
E01016980,Brighton and Hove 007A,-8,Does not apply,0
E01016980,Brighton and Hove 007A,1,Household is not deprived in any dimension,366
E01016980,Brighton and Hove 007A,2,Household is deprived in one dimension,190
E01016980,Brighton and Hove 007A,3,Household is deprived in two dimensions,66
E01016980,Brighton and Hove 007A,4,Household is deprived in three dimensions,17
E01016980,Brighton and Hove 007A,5,Household is deprived in four dimensions,1
E01016981,Brighton and Hove 011A,-8,Does not apply,0
E01016981,Brighton and Hove 011A,1,Household is not deprived in any dimension,390
E01016981,Brighton and Hove 011A,2,Household is deprived in one dimension,206
E01016981,Brighton and Hove 011A,3,Household is deprived in two dimensions,46
E01016981,Brighton and Hove 011A,4,Household is deprived in three dimensions,16
E01016981,Brighton and Hove 011A,5,Household is deprived in four dimensions,6
E01016982,Brighton and Hove 007B,-8,Does not apply,0
E01016982,Brighton and Hove 007B,1,Household is not deprived in any dimension,305
E01016982,Brighton and Hove 007B,2,Household is deprived in one dimension,160
E01016982,Brighton and Hove 007B,3,Household is deprived in two dimensions,31
E01016982,Brighton and Hove 007B,4,Household is deprived in three dimensions,5
E01016982,Brighton and Hove 007B,5,Household is deprived in four dimensions,0
E01016983,Brighton and Hove 007C,-8,Does not apply,0
E01016983,Brighton and Hove 007C,1,Household is not deprived in any dimension,358
E01016983,Brighton and Hove 007C,2,Household is deprived in one dimension,137
E01016983,Brighton and Hove 007C,3,Household is deprived in two dimensions,44
E01016983,Brighton and Hove 007C,4,Household is deprived in three dimensions,2
E01016983,Brighton and Hove 007C,5,Household is deprived in four dimensions,0
E01016984,Brighton and Hove 007D,-8,Does not apply,0
E01016984,Brighton and Hove 007D,1,Household is not deprived in any dimension,384
E01016984,Brighton and Hove 007D,2,Household is deprived in one dimension,155
E01016984,Brighton and Hove 007D,3,Household is deprived in two dimensions,36
E01016984,Brighton and Hove 007D,4,Household is deprived in three dimensions,2
E01016984,Brighton and Hove 007D,5,Household is deprived in four dimensions,0
E01016985,Brighton and Hove 007E,-8,Does not apply,0
E01016985,Brighton and Hove 007E,1,Household is not deprived in any dimension,349
E01016985,Brighton and Hove 007E,2,Household is deprived in one dimension,216
E01016985,Brighton and Hove 007E,3,Household is deprived in two dimensions,44
E01016985,Brighton and Hove 007E,4,Household is deprived in three dimensions,7
E01016985,Brighton and Hove 007E,5,Household is deprived in four dimensions,1
E01016986,Brighton and Hove 028D,-8,Does not apply,0
E01016986,Brighton and Hove 028D,1,Household is not deprived in any dimension,395
E01016986,Brighton and Hove 028D,2,Household is deprived in one dimension,269
E01016986,Brighton and Hove 028D,3,Household is deprived in two dimensions,115
E01016986,Brighton and Hove 028D,4,Household is deprived in three dimensions,49
E01016986,Brighton and Hove 028D,5,Household is deprived in four dimensions,8
E01016987,Brighton and Hove 023A,-8,Does not apply,0
E01016987,Brighton and Hove 023A,1,Household is not deprived in any dimension,393
E01016987,Brighton and Hove 023A,2,Household is deprived in one dimension,247
E01016987,Brighton and Hove 023A,3,Household is deprived in two dimensions,89
E01016987,Brighton and Hove 023A,4,Household is deprived in three dimensions,12
E01016987,Brighton and Hove 023A,5,Household is deprived in four dimensions,2
E01016988,Brighton and Hove 028E,-8,Does not apply,0
E01016988,Brighton and Hove 028E,1,Household is not deprived in any dimension,372
E01016988,Brighton and Hove 028E,2,Household is deprived in one dimension,259
E01016988,Brighton and Hove 028E,3,Household is deprived in two dimensions,83
E01016988,Brighton and Hove 028E,4,Household is deprived in three dimensions,29
E01016988,Brighton and Hove 028E,5,Household is deprived in four dimensions,5
E01016989,Brighton and Hove 023B,-8,Does not apply,0
E01016989,Brighton and Hove 023B,1,Household is not deprived in any dimension,398
E01016989,Brighton and Hove 023B,2,Household is deprived in one dimension,199
E01016989,Brighton and Hove 023B,3,Household is deprived in two dimensions,68
E01016989,Brighton and Hove 023B,4,Household is deprived in three dimensions,25
E01016989,Brighton and Hove 023B,5,Household is deprived in four dimensions,3
E01016990,Brighton and Hove 016B,-8,Does not apply,0
